trans_id,lang,translation
オークワ西改田店,ja-Hrkt,おーくわにしかいでんてん
オークワ西改田店,en,OKUWA Nishikaidenten
おおのレディースクリニック,ja,おおのレディースクリニック
おおのレディースクリニック,ja-Hrkt,おおのれでぃーすくりにっく
おおのレディースクリニック,en,Ono Ladies Clinic
おぶさ,ja,おぶさ
おぶさ,ja-Hrkt,おぶさ
おぶさ,en,Obusa
おぶさ公民館前,ja,おぶさ公民館前
おぶさ公民館前,ja-Hrkt,おぶさこうみんかんまえ
おぶさ公民館前,en,Obusa Kominkan-mae
おやま皮膚科,ja,おやま皮膚科
おやま皮膚科,ja-Hrkt,おやまひふか
おやま皮膚科,en,Oyama Hifuka
カネスエ,ja,カネスエ
カネスエ,ja-Hrkt,かねすえ
カネスエ,en,Kanesue
カネスエ（岐大前店）,ja,カネスエ（岐大前店）
カネスエ（岐大前店）,ja-Hrkt,かねすえ（ぎだいまえてん）
カネスエ（岐大前店）,en,Kanesue
かねまつ整形外科前,ja,かねまつ整形外科前
かねまつ整形外科前,ja-Hrkt,かねまつせいけいげかまえ
かねまつ整形外科前,en,Kanematsu Seikeigeka-mae
カフェすえひろ・西本整形外科・リハビリクリニック,ja,カフェすえひろ・西本整形外科・リハビリクリニック
カフェすえひろ・西本整形外科・リハビリクリニック,ja-Hrkt,かふぇすえひろ・にしもとせいけいげか・りはびりくりにっく
カフェすえひろ・西本整形外科・リハビリクリニック,en,Cafe Suehiro/Nishimoto Seikeigeka Rehabilitation Clinic
カラオケハッピー・ローソン前,ja,カラオケハッピー・ローソン前
カラオケハッピー・ローソン前,ja-Hrkt,からおけはっぴー・ろーそんまえ
カラオケハッピー・ローソン前,en,Karaoke Happy/LAWSON-mae
カラフルタウン,ja,カラフルタウン
カラフルタウン,ja-Hrkt,からふるたうん
カラフルタウン,en,COLORFUL TOWN
カラフルタウン北口,ja,カラフルタウン北口
カラフルタウン北口,ja-Hrkt,からふるたうんきたぐち
カラフルタウン北口,en,COLORFUL TOWN-kitaguchi
カラフルタウン南口,ja,カラフルタウン南口
カラフルタウン南口,ja-Hrkt,からふるたうんみなみぐち
カラフルタウン南口,en,COLORFUL TOWN-minamiguchi
カローラ芥見店,ja,カローラ芥見店
カローラ芥見店,ja-Hrkt,かろーらあくたみてん
カローラ芥見店,en,COROLLA Akutamiten
かわぐちクリニック・まみや薬局前,ja,かわぐちクリニック・まみや薬局前
かわぐちクリニック・まみや薬局前,ja-Hrkt,かわぐちくりにっく・まみややっきょくまえ
かわぐちクリニック・まみや薬局前,en,Kawaguchi Clinic/Mamiya yakkyoku-mae
かわごえクリニック西,ja,かわごえクリニック西
かわごえクリニック西,ja-Hrkt,かわごえくりにっくにし
かわごえクリニック西,en,Kawagoe Clinic-nishi
ぎふ清流福祉エリア,ja,ぎふ清流福祉エリア
ぎふ清流福祉エリア,ja-Hrkt,ぎふせいりゅうふくしえりあ
ぎふ清流福祉エリア,en,Gifuseiryu Fukushi Area
くまざき内科前,ja,くまざき内科前
くまざき内科前,ja-Hrkt,くまざきないかまえ
くまざき内科前,en,Kumazaki Naika-mae
くまだ眼科・テイコク前,ja,くまだ眼科・テイコク前
くまだ眼科・テイコク前,ja-Hrkt,くまだがんか・ていこくまえ
くまだ眼科・テイコク前,en,Kumada Ganka/Teikoku-mae
グリーン歯科,ja,グリーン歯科
グリーン歯科,ja-Hrkt,ぐりーんしか
グリーン歯科,en,Green Shika
ケーヨーデイツー,ja,ケーヨーデイツー
ケーヨーデイツー,ja-Hrkt,けーよーでいつー
ケーヨーデイツー,en,Keiyo D2
こいし整形外科・しょうなん調剤薬局,ja,こいし整形外科・しょうなん調剤薬局
こいし整形外科・しょうなん調剤薬局,ja-Hrkt,こいしせいけいげか・しょうなんちょうざいやっきょく
こいし整形外科・しょうなん調剤薬局,en,Koishi Seikeigeka/Shonan Chozaiyakkyoku
コートスマイル前,ja,コートスマイル前
コートスマイル前,ja-Hrkt,こーとすまいるまえ
コートスマイル前,en,Court Smile-mae
ごとう整形外科,ja,ごとう整形外科
ごとう整形外科,ja-Hrkt,ごとうせいけいげか
ごとう整形外科,en,Goto Seikeigeka
こばと幼稚園,ja,こばと幼稚園
こばと幼稚園,ja-Hrkt,こばとようちえん
こばと幼稚園,en,Kobato Yochien(Kobato Kindergarten)
コメダコーヒー前,ja,コメダコーヒー前
コメダコーヒー前,ja-Hrkt,こめだこーひーまえ
コメダコーヒー前,en,Komeda's Coffee-mae
コメリ岐阜三輪店前,ja,コメリ岐阜三輪店前
コメリ岐阜三輪店前,ja-Hrkt,こめりぎふみわてんまえ
コメリ岐阜三輪店前,en,Komeri Gifumiwaten-mae
コロムビアファッションカレッジ,ja,コロムビアファッションカレッジ
コロムビアファッションカレッジ,ja-Hrkt,ころむびあふぁっしょんかれっじ
コロムビアファッションカレッジ,en,Columbia Fashion College
ザ・パームガーデン前,ja,ザ・パームガーデン前
ザ・パームガーデン前,ja-Hrkt,ざ・ぱーむがーでんまえ
ザ・パームガーデン前,en,The Palm Garden-mae
サカヤス前,ja,サカヤス前
サカヤス前,ja-Hrkt,さかやすまえ
サカヤス前,en,Sakayasu-mae
サフィールあまいけ前,ja,サフィールあまいけ前
サフィールあまいけ前,ja-Hrkt,さふぃーるあまいけまえ
サフィールあまいけ前,en,Safir Amaike-mae
サンマート【廃止】,ja,サンマート【廃止】
サンマート【廃止】,ja-Hrkt,さんまーと
サンマート【廃止】,en,Sunmart
サンマート・長良整形,ja,サンマート・長良整形
サンマート・長良整形,ja-Hrkt,さんまーと・ながらせいけい
サンマート・長良整形,en,Sunmart/Nagara Seikei
サンライフ岐阜,ja,サンライフ岐阜
サンライフ岐阜,ja-Hrkt,さんらいふぎふ
サンライフ岐阜,en,Sunlife Gifu
しいのみ公園東,ja,しいのみ公園東
しいのみ公園東,ja-Hrkt,しいのみこうえんひがし
しいのみ公園東,en,Shiinomi Koen-higashi(Shiinomi Park)
しま医院前,ja,しま医院前
しま医院前,ja-Hrkt,しまいいんまえ
しま医院前,en,Shima Iin-mae
しもて歯科,ja,しもて歯科
しもて歯科,ja-Hrkt,しもてしか
しもて歯科,en,Shimote Shika
シャトレーゼ南,ja,シャトレーゼ南
シャトレーゼ南,ja-Hrkt,しゃとれーぜみなみ
シャトレーゼ南,en,Chateraise-minami
シルバータウン岩井前,ja,シルバータウン岩井前
シルバータウン岩井前,ja-Hrkt,しるばーたうんいわいまえ
シルバータウン岩井前,en,Silver Town Iwai-mae
スーパービバホーム,ja,スーパービバホーム
スーパービバホーム,ja-Hrkt,すーぱーびばほーむ
スーパービバホーム,en,Supermarket Viva Home
スーパー三心（芥見店）,ja,スーパー三心（芥見店）
スーパー三心（芥見店）,ja-Hrkt,すーぱーさんしん
スーパー三心（芥見店）,en,Supermarket Sanshin
スーパー三心（西郷店）,ja,スーパー三心（西郷店）
スーパー三心（西郷店）,ja-Hrkt,すーぱーさんしん
スーパー三心（西郷店）,en,Supermarket Sanshin
スーパー三心【廃止】,ja,スーパー三心【廃止】
スーパー三心【廃止】,ja-Hrkt,すーぱーさんしん
スーパー三心【廃止】,en,Supermarket Sanshin
スーパー三心前,ja,スーパー三心前
スーパー三心前,ja-Hrkt,すーぱーさんしんまえ
スーパー三心前,en,Supermarket Sanshin-mae
スーパー三心東,ja,スーパー三心東
スーパー三心東,ja-Hrkt,すーぱーさんしんひがし
スーパー三心東,en,Supermarket Sanshin-higashi
スーパー三心東（西郷店）,ja,スーパー三心東（西郷店）
スーパー三心東（西郷店）,ja-Hrkt,すーぱーさんしんひがし
スーパー三心東（西郷店）,en,Supermarket Sanshin-higashi
スギ薬局粟野東店,ja,スギ薬局粟野東店
スギ薬局粟野東店,ja-Hrkt,すぎやっきょくあわのひがしてん
スギ薬局粟野東店,en,Sugiyakkyoku Awanohigashiten
すし石松前,ja,すし石松前
すし石松前,ja-Hrkt,すしいしまつまえ
すし石松前,en,Sushi Ishimatsu-mae
セブンイレブン,ja,セブンイレブン
セブンイレブン,ja-Hrkt,せぶんいれぶん
セブンイレブン,en,SEVEN-ELEVEN 
セブンイレブン東,ja,セブンイレブン東
セブンイレブン東,ja-Hrkt,せぶんいれぶんひがし
セブンイレブン東,en,SEVEN-ELEVEN-higashi
たかはし整形外科前,ja,たかはし整形外科前
たかはし整形外科前,ja-Hrkt,たかはしせいけいげかまえ
たかはし整形外科前,en,Takahashi Seikeigeka-mae
たかやま接骨院前,ja,たかやま接骨院前
たかやま接骨院前,ja-Hrkt,たかやませっこついんまえ
たかやま接骨院前,en,Takayama Sekkotsuin-mae
たなかクリニック前,ja,たなかクリニック前
たなかクリニック前,ja-Hrkt,たなかくりにっくまえ
たなかクリニック前,en,Tanaka Clinic-mae
トミダヤ三田洞店,ja,トミダヤ三田洞店
トミダヤ三田洞店,ja-Hrkt,とみだやみたほらてん
トミダヤ三田洞店,en,Tomidaya Mitahoraten
トミダヤ島店,ja,トミダヤ島店
トミダヤ島店,ja-Hrkt,とみだやしまてん
トミダヤ島店,en,Tomidaya Shimaten
ドラッグユタカ前,ja,ドラッグユタカ前
ドラッグユタカ前,ja-Hrkt,どらっぐゆたかまえ
ドラッグユタカ前,en,Drug Yutaka-mae
ドルフィンスイミングスクール,ja,ドルフィンスイミングスクール
ドルフィンスイミングスクール,ja-Hrkt,どるふぃんすいみんぐすくーる
ドルフィンスイミングスクール,en,Dolphin Swimming School
ナーシングホーム悠ライフ,ja,ナーシングホーム悠ライフ
ナーシングホーム悠ライフ,ja-Hrkt,なーしんぐほーむゆうらいふ
ナーシングホーム悠ライフ,en,Nursing Home Yu Life
ハイツ宇佐,ja,ハイツ宇佐
ハイツ宇佐,ja-Hrkt,はいつうさ
ハイツ宇佐,en,Heights Usa
はしもと内科,ja,はしもと内科
はしもと内科,ja-Hrkt,はしもとないか
はしもと内科,en,Hashimoto Naika
はしもと内科前,ja,はしもと内科前
はしもと内科前,ja-Hrkt,はしもとないかまえ
はしもと内科前,en,Hashimoto Naika-mae
はやの耳鼻いんこう科前,ja,はやの耳鼻いんこう科前
はやの耳鼻いんこう科前,ja-Hrkt,はやのじびいんこうかまえ
はやの耳鼻いんこう科前,en,Hayano Jibiinkoka-mae
ハローワーク前,ja,ハローワーク前
ハローワーク前,ja-Hrkt,はろーわーくまえ
ハローワーク前,en,HelloWork-mae
バロー三輪店,ja,バロー三輪店
バロー三輪店,ja-Hrkt,ばろーみわてん
バロー三輪店,en,Valor Miwaten
バロー北一色店,ja,バロー北一色店
バロー北一色店,ja-Hrkt,ばろーきたいっしきてん
バロー北一色店,en,Valor Kitaisshikiten
バロー南,ja,バロー南
バロー南,ja-Hrkt,ばろーみなみ
バロー南,en,Valor-minami
バロー岩田店,ja,バロー岩田店
バロー岩田店,ja-Hrkt,ばろーいわたてん
バロー岩田店,en,Valor Iwataten
バロー市橋店前,ja,バロー市橋店前
バロー市橋店前,ja-Hrkt,ばろーいちはしてんまえ
バロー市橋店前,en,Valor Ichihashiten-mae
バロー東,ja,バロー東
バロー東,ja-Hrkt,ばろーひがし
バロー東,en,Valor-higashi
バロー粟野店,ja,バロー粟野店
バロー粟野店,ja-Hrkt,ばろーあわのてん
バロー粟野店,en,Valor Awanoten
バロー粟野店南・岩野田児童センター東,ja,バロー粟野店南・岩野田児童センター東
バロー粟野店南・岩野田児童センター東,ja-Hrkt,ばろーあわのてんみなみ・いわのだじどうせんたーひがし
バロー粟野店南・岩野田児童センター東,en,Valor Awanoten-minami/Iwanoda Jido Center-higashi
バロー芥見店,ja,バロー芥見店
バロー芥見店,ja-Hrkt,ばろーあくたみてん
バロー芥見店,en,Valor Akutamiten
バロー茜部本郷店,ja,バロー茜部本郷店
バロー茜部本郷店,ja-Hrkt,ばろーあかなべほんごうてん
バロー茜部本郷店,en,Valor Aakanabehongoten
バロー鏡島店前,ja,バロー鏡島店前
バロー鏡島店前,ja-Hrkt,ばろーかがしまてんまえ
バロー鏡島店前,en,Valor Kagashimaten-mae
バロー長良店,ja,バロー長良店
バロー長良店,ja-Hrkt,ばろーながらてん
バロー長良店,en,Valor Nagaraten
ピアゴ長良店,ja,ピアゴ長良店
ピアゴ長良店,ja-Hrkt,ぴあごながらてん
ピアゴ長良店,en,PIAGO Nagaraten
ひかり美容院,ja,ひかり美容院
ひかり美容院,ja-Hrkt,ひかりびよういん
ひかり美容院,en,Hikari Biyoin
ファミリーマート中店前,ja,ファミリーマート中店前
ファミリーマート中店前,ja-Hrkt,ふぁみりーまーとなかてんまえ
ファミリーマート中店前,en,FamilyMart Nakaten-mae
ファミリー歯科・黒田内科クリニック南,ja,ファミリー歯科・黒田内科クリニック南
ファミリー歯科・黒田内科クリニック南,ja-Hrkt,ふぁみりーしか・くろだないかくりにっくみなみ
ファミリー歯科・黒田内科クリニック南,en,Family Shika/Kuroda Naika Clinic-minami
ふじの湯・まさき接骨院,ja,ふじの湯・まさき接骨院
ふじの湯・まさき接骨院,ja-Hrkt,まさきせっこついん
ふじの湯・まさき接骨院,en,Fujinoyu/Masaki Sekkotsuin
ぷりんとぴあ前,ja,ぷりんとぴあ前
ぷりんとぴあ前,ja-Hrkt,ぷりんとぴあまえ
ぷりんとぴあ前,en,Printopia-mae
へあーさろんまつお前,ja,へあーさろんまつお前
へあーさろんまつお前,ja-Hrkt,へあーさろんまつおまえ
へあーさろんまつお前,en,Hair Salon Matsuo-mae
ヘルスバンク敷島店,ja,ヘルスバンク敷島店
ヘルスバンク敷島店,ja-Hrkt,へるすばんくしきしまてん
ヘルスバンク敷島店,en,HealthBank Shikishimaten
ほたる橋,ja,ほたる橋
ほたる橋,ja-Hrkt,ほたるばし
ほたる橋,en,Hotarubashi(Hotaru Bridge)
ほっともっと岐阜岩崎店,ja,ほっともっと岐阜岩崎店
ほっともっと岐阜岩崎店,ja-Hrkt,ほっともっとぎふいわさきてん
ほっともっと岐阜岩崎店,en,HottoMotto Gifuiwasakiten
マーサ南口,ja,マーサ南口
マーサ南口,ja-Hrkt,まーさみなみぐち
マーサ南口,en,MASA-minamiguchi(MASA-south entrance)
マーサ東,ja,マーサ東
マーサ東,ja-Hrkt,まーさひがし
マーサ東,en,MASA-higashi
マックスバリュ前,ja,マックスバリュ前
マックスバリュ前,ja-Hrkt,まっくすばりゅまえ
マックスバリュ前,en,MaxValu-mae
マルナカ入舟店,ja,マルナカ入舟店
マルナカ入舟店,ja-Hrkt,まるなかいりふねてん
マルナカ入舟店,en,Marunaka Irifuneten
ミカド前,ja,ミカド前
ミカド前,ja-Hrkt,みかどまえ
ミカド前,en,Mikado-mae
みさとこども園前,ja,みさとこども園前
みさとこども園前,ja-Hrkt,みさとこどもえんまえ
みさとこども園前,en,Misato Kodomoen-mae(Misato Kindergarten)
みどりヶ丘表通り,ja,みどりヶ丘表通り
みどりヶ丘表通り,ja-Hrkt,みどりがおかおもてどおり
みどりヶ丘表通り,en,Midorigaoka-omotedori
みどり病院,ja,みどり病院
みどり病院,ja-Hrkt,みどりびょういん
みどり病院,en,Midori Byoin(Midori Hospital)
みながわクリニック前,ja,みながわクリニック前
みながわクリニック前,ja-Hrkt,みながわくりにっくまえ
みながわクリニック前,en,Minagawa Clinic-mae
ミニストップ,ja,ミニストップ
ミニストップ,ja-Hrkt,みにすとっぷ
ミニストップ,en,MINISTOP
ミワ美容室,ja,ミワ美容室
ミワ美容室,ja-Hrkt,みわびようしつ
ミワ美容室,en,Miwa Biyoshitsu
むつみ幼稚園前,ja,むつみ幼稚園前
むつみ幼稚園前,ja-Hrkt,むつみようちえんまえ
むつみ幼稚園前,en,Mutsumi Yochien-mae(Mutsumi Kindergarten)
メガドンキ前,ja,メガドンキ前
メガドンキ前,ja-Hrkt,めがどんきまえ
メガドンキ前,en,MEGA Donki-mae(MEGA Don Quijote)
メモリアル前,ja,メモリアル前
メモリアル前,ja-Hrkt,めもりあるまえ
メモリアル前,en,Memorial-mae
メモリアル西,ja,メモリアル西
メモリアル西,ja-Hrkt,めもりあるにし
メモリアル西,en,Memorial-nishi
もりおか内科前,ja,もりおか内科前
もりおか内科前,ja-Hrkt,もりおかないかまえ
もりおか内科前,en,Morioka Naika-mae
やないづもえぎの里,ja,やないづもえぎの里
やないづもえぎの里,ja-Hrkt,やないづもえぎのさと
やないづもえぎの里,en,Yanaizu Moeginosato
やまだ整形外科・内科クリニック、柳津生涯学習センター,ja,やまだ整形外科・内科クリニック、柳津生涯学習センター
やまだ整形外科・内科クリニック、柳津生涯学習センター,ja-Hrkt,やまだせいけいげか・ないかくりにっく　やないづしょうがいがくしゅうせんたー
やまだ整形外科・内科クリニック、柳津生涯学習センター,en,Yamada Seikeigeka Naika Clinic/Yanaizu Shogaigakushu Center
ヤマダ電機西,ja,ヤマダ電機西
ヤマダ電機西,ja-Hrkt,やまだでんきにし
ヤマダ電機西,en,Yamadadenki-nishi
よしだファミリークリニック,ja,よしだファミリークリニック
よしだファミリークリニック,ja-Hrkt,よしだふぁみりーくりにっく
よしだファミリークリニック,en,Yoshida Family Clinic
ワコー自動車前,ja,ワコー自動車前
ワコー自動車前,ja-Hrkt,わこーじどうしゃまえ
ワコー自動車前,en,Wako Jidosha-mae
わたなべ内科,ja,わたなべ内科
わたなべ内科,ja-Hrkt,わたなべないか
わたなべ内科,en,Watanabe Naika
七郷クリニック前,ja,七郷クリニック前
七郷クリニック前,ja-Hrkt,ななさとくりにっくまえ
七郷クリニック前,en,Nanasato Clinic-mae
三信町,ja,三信町
三信町,ja-Hrkt,さんしんちょう
三信町,en,Sanshincho
三心・徳兵衛前,ja,三心・徳兵衛前
三心・徳兵衛前,ja-Hrkt,さんしん・とくべえまえ
三心・徳兵衛前,en,Sanshin/Tokubee-mae
三田洞,ja,三田洞
三田洞,ja-Hrkt,みたほら
三田洞,en,Mitahora
三田洞公民館,ja,三田洞公民館
三田洞公民館,ja-Hrkt,みたほらこうみんかん
三田洞公民館,en,Mitahora Kominkan
三田洞団地集会場,ja,三田洞団地集会場
三田洞団地集会場,ja-Hrkt,みたほらだんちしゅうかいじょう
三田洞団地集会場,en,Mitahoradanchi Shukaijo
三田洞大橋,ja,三田洞大橋
三田洞大橋,ja-Hrkt,みたほらおおはし
三田洞大橋,en,Mitahora Ohashi
三田洞東２・３丁目,ja,三田洞東２・３丁目
三田洞東２・３丁目,ja-Hrkt,みたほらひがしに・さんちょうめ
三田洞東２・３丁目,en,Mitahorahigashi-ni/sanchome(Mitahorahigashi 2/Mitahorahigashi 3)
三田洞東公民館,ja,三田洞東公民館
三田洞東公民館,ja-Hrkt,みたほらひがしこうみんかん
三田洞東公民館,en,Mitahorahigashi Kominkan
三田洞神仏温泉,ja,三田洞神仏温泉
三田洞神仏温泉,ja-Hrkt,みたほらしんぶつおんせん
三田洞神仏温泉,en,Mitahora Shimbutsu Onsen
三田洞自動車学校口,ja,三田洞自動車学校口
三田洞自動車学校口,ja-Hrkt,みたほらじどうしゃがっこうぐち
三田洞自動車学校口,en,Mitahora Jidoshagakko-guchi
三田洞郵便局前,ja,三田洞郵便局前
三田洞郵便局前,ja-Hrkt,みたほらゆうびんきょくまえ
三田洞郵便局前,en,Mitahora Yubinkyoku-mae(Mitahora Post Office)
三里小学校前,ja,三里小学校前
三里小学校前,ja-Hrkt,みさとしょうがっこうまえ
三里小学校前,en,Misato Shogakko-mae(Misato Elementary School)
三里診療所前,ja,三里診療所前
三里診療所前,ja-Hrkt,みさとしんりょうじょまえ
三里診療所前,en,Misato Shinryojo-mae
上中野,ja,上中野
上中野,ja-Hrkt,かみなかの
上中野,en,Kaminakano
上尻毛・川部６丁目,ja,上尻毛・川部６丁目
上尻毛・川部６丁目,ja-Hrkt,かみしっけ・かわべろくちょうめ
上尻毛・川部６丁目,en,Kamishikke/Kawabe-rokuchome(Kawabe 6)
上尻毛八幡,ja,上尻毛八幡
上尻毛八幡,ja-Hrkt,かみしっけはちまん
上尻毛八幡,en,Kamishikke Hachiman
上尻毛日吉,ja,上尻毛日吉
上尻毛日吉,ja-Hrkt,かみしっけひよし
上尻毛日吉,en,Kamishikke Hiyoshi
上川手東,ja,上川手東
上川手東,ja-Hrkt,かみかわてひがし
上川手東,en,Kamikawate-higashi
上川手西,ja,上川手西
上川手西,ja-Hrkt,かみかわてにし
上川手西,en,Kamikawate-nishi
上芥見南町,ja,上芥見南町
上芥見南町,ja-Hrkt,かみあくたみみなみまち
上芥見南町,en,Kami Akutami Minamimachi
下佐波1丁目,ja,下佐波1丁目
下佐波1丁目,ja-Hrkt,しもさばいっちょうめ
下佐波1丁目,en,Shimosaba-itchome(Shimosaba 1)
下奈良2丁目,ja,下奈良2丁目
下奈良2丁目,ja-Hrkt,しもならにちょうめ
下奈良2丁目,en,Shimonara-nichome(Shimonara 2)
下奈良3丁目,ja,下奈良3丁目
下奈良3丁目,ja-Hrkt,しもならさんちょうめ
下奈良3丁目,en,Shimonara-sanchome(Shimonara 3)
下尻毛,ja,下尻毛
下尻毛,ja-Hrkt,しもしっけ
下尻毛,en,Shimoshikke
下岩崎,ja,下岩崎
下岩崎,ja-Hrkt,しもいわさき
下岩崎,en,Shimoiwasaki
下川手バス停前,ja,下川手バス停前
下川手バス停前,ja-Hrkt,しもかわてばすていまえ
下川手バス停前,en,Shimokawate Bus stop-mae
下芥見,ja,下芥見
下芥見,ja-Hrkt,しもあくたみ
下芥見,en,Shimoakutami
下西郷3丁目,ja,下西郷3丁目
下西郷3丁目,ja-Hrkt,しもさいごうさんちょうめ
下西郷3丁目,en,Shimosaigo-sanchome(Shimosaigo 3)
下西郷4丁目,ja,下西郷4丁目
下西郷4丁目,ja-Hrkt,しもさいごうよんちょうめ
下西郷4丁目,en,Shimosaigo-yonchome(Shimosaigo 4)
下鵜飼北,ja,下鵜飼北
下鵜飼北,ja-Hrkt,しもうかいきた
下鵜飼北,en,Shimoukai-kita
不破クリニック前,ja,不破クリニック前
不破クリニック前,ja-Hrkt,ふわくりにっくまえ
不破クリニック前,en,Fuwa Clinic-mae
且格小学校前,ja,且格小学校前
且格小学校前,ja-Hrkt,しょかくしょうがっこうまえ
